#Column _RAJ2000	(A10)		Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[pos.eq.ra]
#Column _DEJ2000	(A9)		Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[pos.eq.dec]
#Column HIP	(I6)		? Hipparcos identification (Cat. <I/239>) [NULL integer written as an empty string]	[]
#Column f_HIP	(A)		[1] Star with H{alpha} emission (see Table 3)	[]
#Column Name	(A)		Stellar name	[]
#Column SpType	(A2)		Spectral type	[]
#Column e_SpType	Error in SpType	[]
#Column AV	(F5.2)		Extinction in the V band	[]
#Column e_AV	(F5.2)		The 1{sigma} error in AV	[]
#Column Jmag	(F5.2)		The J band magnitude (1)	[]
#Column J-H	(F5.2)		The (J-H) color index (1)	[]
#Column H-Ks	(F5.2)		The (H-K_S_) color index (1)	[]
#Column logT	(F5.2)		Log of the stellar effective temperature	[]
#Column logL	(F5.2)		Log of the stellar luminosity	[]
#Column Mass	(F4.1)		? Stellar mass	[]
#Column Simbad	(A)		ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[]
#Column _RA	(F8.4)		Right Ascension (J2000) from SIMBAD (not part of the original data)	[pos.eq.ra;meta.main]
#Column _DE	(F8.4)		Declination (J2000) from SIMBAD (not part of the original data)	[pos.eq.dec;meta.main]
#Column Loc	(A)		Location (association name)	[]
_RAJ2000	_DEJ2000	HIP	f_HIP	Name	SpType	e_SpType	AV	e_AV	Jmag	J-H	H-Ks	logT	logL	Mass	Simbad	_RA	_DE	Loc
"h:m:s"	"d:m:s"						mag	mag	mag	mag	mag	[K]	[solLum]	solMass		deg	deg	
05 56 26.6	-01 49 27	28109		HD40067	A1	2	0.1	0.28	8.52	-0.04	0.06	3.96	1.81	2.7	Simbad	89.1108	-1.8242	Orion OB1bc
05 13 26.8	-02 37 37	24342		HD33917	A2	2	0.1	0.23	8.94	0.04	0.09	3.96	1.36	2.1	Simbad	78.3618	-2.627	Orion OB1a
05 18 29.9	+02 05 29	24757		HD34561	A2	2	0.0	0.25	9.45	-0.01	0.03	3.95	1.12	1.9	Simbad	79.6247	2.0914	Orion OB1a
05 30 52.6	+01 36 41	25828		HD36311	A2	2	0.1	0.23	8.68	-0.03	0.04	3.96	1.66	2.5	Simbad	82.719	1.6114	Orion OB1a
05 16 06.6	-04 27 51	24556		HD34271	A2	4	0.56	0.36	9.12	0.05	0.04	3.95	1.68	2.6	Simbad	79.0275	-4.4641	Orion OB1bc
05 38 09.2	-00 10 56	26500	1	HD37371	A2	2	0.23	0.22	8.04	0.15	0.35	3.95	1.95	2.9	Simbad	84.5384	-0.1822	Orion OB1bc
05 50 23.9	+04 57 24	27573		HD39082	A2	2	0.0	0.27	7.35	-0.06	0.02	3.96	2.33	4.0	Simbad	87.5994	4.9567	Orion OB1bc
05 50 28.6	-04 58 37	27580		HD39161	A2	2	0.1	0.24	8.79	0.06	0.05	3.95	1.74	2.6	Simbad	87.6193	-4.9771	Orion OB1bc
05 08 06.4	+03 44 55	23899		HD33110	A3	2	0.0	0.18	7.0	0.0	0.06	3.94	2.13	3.5	Simbad	77.0266	3.7486	Orion OB1a
05 15 57.6	+01 19 39	24547		HD34226	A3	2	0.24	0.19	8.25	0.02	0.06	3.94	1.69	2.6	Simbad	78.9901	1.3276	Orion OB1a
05 23 53.3	-03 04 59	25244		HD35318	A3	2	0.31	0.21	9.22	0.01	0.05	3.94	1.35	2.1	Simbad	80.972	-3.083	Orion OB1a
05 24 08.0	+02 27 47	25258	1	HD287823	A3	2	0.45	0.23	9.24	0.5	0.83	3.94	1.32	2.1	Simbad	81.0335	2.463	Orion OB1a
05 26 16.3	-03 04 34	25427		HD35658	A3	2	0.07	0.21	8.67	0.01	0.11	3.94	1.71	2.6	Simbad	81.5679	-3.0761	Orion OB1bc
05 45 15.1	-05 06 41	27138		HD38389	A3	3	0.0	0.26	9.87	0.04	0.07	3.94	1.16	1.9	Simbad	86.3127	-5.1115	Orion OB1bc
05 20 52.9	+01 01 00	24970		HD34908	A4	2	0.05	0.2	8.92	0.02	0.07	3.92	1.38	2.0	Simbad	80.2205	1.0166	Orion OB1a
05 32 16.7	-03 33 51	25956		HD36527	A4	3	0.12	0.2	9.16	0.08	0.03	3.93	1.53	2.4	Simbad	83.0694	-3.5641	Orion OB1bc
05 37 40.5	-02 26 37	26456		HD37333	A4	3	0.0	0.21	8.41	-0.07	0.07	3.93	1.86	2.8	Simbad	84.4186	-2.4436	Orion OB1bc
05 52 22.6	-00 55 03	27744		HD39401	A4	3	0.2	0.22	8.55	0.0	0.06	3.93	1.82	2.8	Simbad	88.094	-0.9174	Orion OB1bc
05 18 24.3	-02 32 07	24747		HD34582	A5	2	0.38	0.2	8.08	0.07	0.07	3.92	1.68	2.5	Simbad	79.6014	-2.5354	Orion OB1a
05 50 13.1	+02 24 53	27561		HD39067	A5	3	0.06	0.23	8.7	0.07	0.0	3.92	1.71	2.6	Simbad	87.5548	2.4148	Orion OB1bc
05 56 49.4	-03 04 17	28140		HD40134	A5	3	0.05	0.23	8.37	0.04	0.01	3.92	1.8	2.7	Simbad	89.206	-3.0715	Orion OB1bc
05 28 09.6	+03 37 23	25591		HD244042	A6	2	0.01	0.22	9.02	0.17	0.03	3.92	1.23	1.9	Simbad	82.0402	3.6232	Orion OB1a
05 36 29.4	+03 18 30	26331		HD245519	A6	2	0.23	0.23	9.31	0.07	0.01	3.91	1.26	1.9	Simbad	84.1223	3.3082	Orion OB1a
05 02 43.5	+05 49 50	23469		HD32350	A7	2	0.0	0.24	8.91	0.08	0.03	3.9	1.2	1.9	Simbad	75.6814	5.8305	Orion OB1a
05 15 46.4	-01 16 40	24531		HD34238	A8	2	0.2	0.26	8.19	0.05	0.09	3.88	1.57	2.4	Simbad	78.9433	-1.2779	Orion OB1a
05 24 42.8	+01 43 48	25299	1	V346 Ori	A8	2	0.0	0.42	9.7	0.51	0.63	3.88	0.88	1.7	Simbad	81.1783	1.7301	Orion OB1a
05 30 53.3	+05 41 34	25831		HD244459	A8	2	0.14	0.32	9.64	0.04	0.05	3.88	0.98	1.7	Simbad	82.7223	5.6928	Orion OB1a
05 44 18.8	+00 08 40	27059	1	V351 Ori	A9	3	0.37	0.27	7.95	0.45	0.66	3.87	1.83	3.0	Simbad	86.0783	0.1446	Orion OB1bc
05 35 21.9	-04 29 39	26233		HD37017	B0	1	0.49	0.16	6.8	-0.08	-0.03	4.48	4.03	14.6	Simbad	83.8411	-4.4942	Orion OB1bc
05 15 05.8	+04 54 19	24467		HD34098	B1	1	0.29	0.17	9.03	-0.12	-0.01	4.38	2.59		Simbad	78.7743	4.9052	Orion OB1a
05 21 45.7	-00 22 57	25044		HD35039	B1	1	0.27	0.15	5.46	0.23	0.02	4.4	4.24	13.3	Simbad	80.4406	-0.3825	Orion OB1a
05 23 42.3	-00 09 35	25223		HD35299	B1	1	0.12	0.15	6.13	-0.11	-0.04	4.39	3.77	9.9	Simbad	80.9263	-0.1598	Orion OB1a
05 26 50.2	+03 05 44	25473		HD35715	B1	1	0.15	0.16	5.08	-0.11	-0.01	4.39	4.22	13.1	Simbad	81.7093	3.0957	Orion OB1a
05 26 59.2	-02 21 38	25480		HD35777	B1	1	0.26	0.13	6.96	-0.15	0.01	4.39	3.45	9.4	Simbad	81.7465	-2.3606	Orion OB1a
05 29 54.8	+01 47 21	25751		HD36166	B1	1	0.18	0.14	6.17	-0.14	-0.02	4.39	3.77	10.0	Simbad	82.4782	1.7893	Orion OB1a
05 31 05.0	+03 21 12	25850		HD36340	B1	1	0.35	0.13	8.28	-0.13	-0.03	4.4	2.97		Simbad	82.7709	3.3533	Orion OB1a
05 33 57.6	+01 24 28	26098		HD36741	B1	1	0.23	0.12	7.0	-0.13	0.03	4.39	3.45	9.3	Simbad	83.4899	1.4076	Orion OB1a
05 32 41.4	-01 35 31	25980		HD36591	B1	2	0.25	0.18	5.74	-0.12	-0.02	4.42	4.28	13.6	Simbad	83.1723	-1.5918	Orion OB1bc
05 37 27.4	-05 56 18	26427		HD37303	B1	3	0.14	0.28	6.49	-0.17	0.0	4.4	3.91	11.0	Simbad	84.364	-5.9384	Orion OB1bc
05 37 53.4	-04 48 51	26477		HD37356	B1	2	0.68	0.2	6.2	-0.03	0.01	4.39	4.05	11.8	Simbad	84.4724	-4.814	Orion OB1bc
05 40 13.5	-01 27 45	26683		HD37674	B1	2	0.56	0.2	7.72	-0.04	-0.03	4.4	3.42	9.7	Simbad	85.0564	-1.4626	Orion OB1bc
05 40 50.7	-01 07 44	26736		HD37756	B1	2	0.16	0.18	5.38	-0.13	-0.04	4.39	4.32	13.8	Simbad	85.2113	-1.1288	Orion OB1bc
05 40 56.4	-01 30 26	26742		HD37776	B1	1	0.34	0.14	7.29	-0.14	0.01	4.39	3.58	10.0	Simbad	85.2349	-1.5072	Orion OB1bc
05 41 38.4	-02 15 32	26816		HD37903	B1	2	1.0	0.19	7.37	-0.05	0.14	4.39	3.52	10.1	Simbad	85.41	-2.259	Orion OB1bc
05 54 34.7	-04 03 53	27929		HD39777	B1	2	0.24	0.17	6.9	-0.12	-0.01	4.39	3.72	9.6	Simbad	88.6446	-4.0647	Orion OB1bc
05 19 35.3	-01 24 43	24847		HD34748	B2	1	0.37	0.15	6.57	-0.03	-0.07	4.35	3.52	8.3	Simbad	79.897	-1.4119	Orion OB1a
05 22 50.0	+03 32 40	25142		HD35149	B2	2	0.39	0.2	5.35	-0.1	-0.03	4.35	4.07	11.4	Simbad	80.7083	3.5445	Orion OB1a
05 24 44.8	+01 50 47	25302	1	V1086 Ori	B2	1	0.1	0.16	5.37	-0.05	0.06	4.36	4.02	11.3	Simbad	81.1868	1.8464	Orion OB1a
05 25 36.5	-01 29 29	25368		HD35575	B2	2	0.22	0.17	6.79	-0.03	-0.06	4.36	3.45	9.0	Simbad	81.4021	-1.4913	Orion OB1a
05 25 47.0	+00 31 13	25378		HD35588	B2	1	0.09	0.15	6.53	-0.06	0.0	4.32	3.39	7.6	Simbad	81.4459	0.5202	Orion OB1a
05 27 08.3	+03 51 20	25493		HD35762	B2	1	0.24	0.15	7.08	-0.13	0.05	4.36	3.34	8.6	Simbad	81.7846	3.8555	Orion OB1a
05 28 01.5	+01 17 54	25582		HD35912	B2	1	0.16	0.1	6.74	-0.09	-0.04	4.35	3.41	8.5	Simbad	82.0061	1.2983	Orion OB1a
05 31 14.5	+03 17 32	25861		HD36351	B2	1	0.15	0.15	5.82	-0.14	-0.02	4.35	3.78	9.0	Simbad	82.8106	3.2921	Orion OB1a
05 33 31.4	-01 09 22	26063		HD36695	B2	2	0.2	0.23	5.75	-0.06	-0.05	4.38	4.15	12.5	Simbad	83.381	-1.1561	Orion OB1bc
05 34 03.9	-01 02 09	26106		HD36779	B2	2	0.16	0.18	6.58	-0.05	-0.07	4.32	3.66	8.5	Simbad	83.5162	-1.0357	Orion OB1bc
05 34 14.9	-02 52 54	26120		HD36827	B2	2	0.18	0.22	6.94	-0.11	-0.02	4.34	3.52	8.1	Simbad	83.5621	-2.8817	Orion OB1bc
05 35 31.1	-04 21 51	26257		HD37040	B2	2	0.18	0.19	6.65	-0.09	-0.03	4.34	3.57	8.3	Simbad	83.8795	-4.364	Orion OB1bc
05 37 36.8	-04 56 03	26442		HD37334	B2	2	0.22	0.19	7.46	-0.04	-0.04	4.36	3.41	8.9	Simbad	84.4031	-4.9341	Orion OB1bc
05 38 13.7	-01 10 09	26508		HD37397	B2	3	0.18	0.26	7.16	-0.06	-0.03	4.32	3.43	7.8	Simbad	84.5572	-1.1692	Orion OB1bc
05 38 45.6	-02 35 59	26551		HD37468D	B2	2	0.12	0.21	7.12	-0.1	-0.04	4.34	3.47	8.0	Simbad	84.6901	-2.5997	Orion OB1bc
05 40 37.3	-02 49 31	26713		HD37744	B2	2	0.13	0.19	6.63	-0.1	-0.06	4.37	3.76	9.7	Simbad	85.1554	-2.8252	Orion OB1bc
05 42 46.1	-04 38 10	26908		HD38051	B2	1	1.7	0.14	7.65	0.0	0.11	4.37	3.48	9.2	Simbad	85.6919	-4.6362	Orion OB1bc
05 21 31.8	-00 24 59	25028		HD35007	B3	1	0.22	0.12	5.95	-0.07	-0.03	4.29	3.58	8.2	Simbad	80.3827	-0.4165	Orion OB1a
