#shell vmin vmax
1 6.1 8.0
2 4.2 6.5
3 7.5 10.4
4 3.3 8.0
5 9.1 11.3
6 5.0 9.0
7 5.3 11.6
8 7.7 10.2
9 7.0 9.1
10 4.9 10.1
11 6.4 10.2
12 8.4 11.4
13 0.0 0.0
14 0.0 0.0
15 0.0 0.0
16 0.0 0.0
17 0.0 0.0
18 0.0 0.0
19 0.0 0.0
20 0.0 0.0
21 0.0 0.0
22 0.0 0.0
23 0.0 0.0
24 0.0 0.0
25 0.0 0.0
26 0.0 0.0
27 0.0 0.0
28 0.0 0.0
29 0.0 0.0
30 0.0 0.0
31 0.0 0.0
32 0.0 0.0
33 0.0 0.0
34 0.0 0.0
35 0.0 0.0
36 0.0 0.0
37 0.0 0.0
38 0.0 0.0
39 0.0 0.0
40 0.0 0.0
41 0.0 0.0
42 0.0 0.0
