MAIN_ID RA DEC RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE SP_TYPE SP_QUAL SP_BIBCODE SP_LETTER
"b'HD 294266'" 84.00278333333331 -4.935247222222222 7 7 60.000 60.000 90 B I b'2003yCat.2246....0C' b'A7' E b'1995A&AS..110..367N' A
"b'* tet02 Ori A'" 83.84542124999999 -5.416061111111111 9 9 3.340 2.200 90 A O b'2007A&A...474..653V' b'O9.5IVp' C b'2011ApJS..193...24S' O
"b'BD-06  1252'" 84.05778333333332 -6.646886111111111 7 7 70.000 60.000 0 B I b'2003yCat.2246....0C' b'F8.0' D b'2013ApJ...764..114H' F
"b'BD-06  1261'" 84.34109624999999 -6.014964444444445 8 8 49.970 43.650 90 B "" b'1998A&A...335L..65H' b'F0' D b'' F
"b'V* V1073 Ori'" 83.86841666666665 -5.4389722222222225 6 6 60.000 60.000 90 B I b'2003yCat.2246....0C' b'B9.5V' D b'' B
"b'Brun 540'" 83.78760833333332 -6.033536111111111 7 7 80.000 70.000 0 B I b'2003yCat.2246....0C' b'F8' D b'' F
"b'HD  36866'" 83.63959125 -5.714774722222223 8 8 45.190 36.690 0 B "" b'1998A&A...335L..65H' b'A0III/IV' D b'1999MSS...C05....0H' A
"b'Parenago  2374'" 84.06348041666665 -6.3987919444444445 8 8 48.990 40.340 90 B "" b'1998A&A...335L..65H' b'F9IV' D b'2001A&A...373..159C' F
"b'V* AC Ori'" 83.81662499999999 -5.398027777777778 6 6 -- -- 0 C O b'2009ApJS..183..261D' b'F5e' D b'2005ApJS..160..511K' F
"b'BD-06  1248B'" 84.00628333333331 -6.836930555555555 7 7 60.000 60.000 45 B N b'2003yCat.2246....0C' b'F6.0' D b'2013ApJ...764..114H' F
"b'Brun 359'" 83.68167083333333 -5.307691666666667 7 7 60.000 60.000 90 B I b'2003yCat.2246....0C' b'F2IV:' C b'' F
"b'* tet01 Ori B'" 83.81713333333332 -5.3852472222222225 7 7 113.000 81.000 90 B O b'2000A&A...355L..27H' b'B1V' C b'1998AJ....115..821M' B
"b'BD-05  1298'" 83.56333333333332 -5.197059722222223 8 8 104.770 73.150 90 B "" b'1998A&A...335L..65H' b'F7' D b'' F
"b'HD  37209A'" 84.14872499999998 -6.064752777777778 7 7 11.000 10.000 90 B O b'2000A&A...355L..27H' b'B1.5' D b'2013ApJ...764..114H' B
"b'Brun 818'" 83.91744583333332 -5.291469444444444 7 7 60.000 60.000 90 B I b'2003yCat.2246....0C' b'B6' D b'1997AJ....113.1733H' B
"b'HD  36981'" 83.77582499999998 -5.204427777777778 7 7 13.000 12.000 0 B O b'2000A&A...355L..27H' b'B7III/IV' D b'1999MSS...C05....0H' B
"b'HD  37025'" 83.81562291666664 -6.032762222222222 8 8 37.870 31.670 90 B "" b'1998A&A...335L..65H' b'B3(III)' D b'1999MSS...C05....0H' B
"b'BD-05  1339'" 84.23723958333332 -5.873111111111111 8 8 28.460 24.670 90 B "" b'1998A&A...335L..65H' b'F8' D b'' F
"b'Brun 216'" 83.55900916666666 -5.615031388888888 8 8 73.480 61.610 0 B "" b'1998A&A...335L..65H' b'F8' D b'2006ApJ...653..657M' F
"b'2MASS J05352388-0521186'" 83.84949999999998 -5.355166666666666 6 6 70.000 60.000 166 B I b'2003yCat.2246....0C' b'<K7e' E b'2013AJ....146...85H' <
"b'HD  36917'" 83.69576666666666 -5.570719444444444 7 7 70.000 60.000 0 B I b'2003yCat.2246....0C' b'B9III/IV' D b'1999MSS...C05....0H' B
"b'HD  37114'" 83.99391666666666 -5.375383333333333 7 7 16.000 15.000 0 B O b'2000A&A...355L..27H' b'B9V' C b'1999MSS...C05....0H' B
"b'HD  36843'" 83.60034083333332 -4.804337777777778 9 9 5.630 3.610 90 A O b'2007A&A...474..653V' b'A5IV' C b'1999MSS...C05....0H' A
"b'BD-06  1256'" 84.15755958333332 -6.425032222222223 8 8 43.170 25.630 90 B "" b'1998A&A...335L..65H' b'A8.0' D b'2013ApJ...764..114H' A
"b'* tet02 Ori C'" 83.88098333333332 -5.421222222222222 7 7 99.860 97.570 0 B "" b'1988A&AS...74..449R' b'B4V' C b'' B
"b'Brun 1025'" 84.18083333333331 -5.113333333333333 5 5 -- -- 0 D "" b'2000AJ....119.3026R' b'F8IV' D b'' F
"b'Brun 508'" 83.76516958333332 -5.983574722222222 8 8 36.440 35.730 90 B "" b'1998A&A...335L..65H' b'B9V' D b'' B
"b'HD  36983'" 83.781775 -5.868983333333333 7 7 70.000 70.000 0 B I b'2003yCat.2246....0C' b'B5(II/III)' D b'1999MSS...C05....0H' B
"b'Brun 1004'" 84.13389999999998 -5.395827777777778 7 7 133.000 124.000 0 B O b'2000A&A...355L..27H' b'F9IV' D b'' F
"b'* tet01 Ori D'" 83.82163499999999 -5.387657222222223 9 9 63.720 42.260 90 A O b'2007A&A...474..653V' b'B1.5Vp' C b'2006MNRAS.371..252L' B
"b'Brun 438'" 83.72247083333332 -5.968177777777778 7 7 70.000 70.000 90 B I b'2003yCat.2246....0C' b'F5V' D b'' F
"b'HD  37078'" 83.8949583333333 -6.083561111111111 7 7 80.000 60.000 0 B I b'2003yCat.2246....0C' b'A2V' C b'1999MSS...C05....0H' A
"b'V* V566 Ori'" 83.89912916666665 -5.205722222222223 7 7 60.000 60.000 90 B I b'2003yCat.2246....0C' b'A0V' D b'' A
"b'HD  37115'" 83.97534041666665 -5.628425555555556 8 8 27.910 22.500 0 B "" b'1998A&A...335L..65H' b'B7Ve' C b'1976PASP...88..712L' B
